dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,0.600000,18.666667,0.000003,0.001250,0.250000,50.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,-0.250000,-100.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,50.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,0.600969,18.666667,0.000972,0.193750,38.750000,7750.000000,0.000000
0.005000,0.602347,18.666667,0.002350,0.275625,16.375000,-4475.000000,0.000000
0.005000,0.603859,18.666667,0.003862,0.302500,5.375000,-2200.000000,0.000000
0.005000,0.605513,18.666667,0.005516,0.330625,5.625000,50.000000,0.000000
0.005000,0.607313,18.666667,0.007316,0.360000,5.875000,50.000000,0.000000
0.005000,0.609266,18.666667,0.009269,0.390625,6.125000,50.000000,0.000000
0.005000,0.611378,18.666667,0.011381,0.422500,6.375000,50.000000,0.000000
0.005000,0.613656,18.666667,0.013659,0.455625,6.625000,50.000000,0.000000
0.005000,0.616106,18.666667,0.016109,0.490000,6.875000,50.000000,0.000000
0.005000,0.618734,18.666667,0.018737,0.525625,7.125000,50.000000,0.000000
0.005000,0.621547,18.666667,0.021550,0.562500,7.375000,50.000000,0.000000
0.005000,0.624550,18.666667,0.024553,0.600625,7.625000,50.000000,0.000000
0.005000,0.627750,18.666667,0.027753,0.640000,7.875000,50.000000,0.000000
0.005000,0.631153,18.666667,0.031156,0.680625,8.125000,50.000000,0.000000
0.005000,0.634766,18.666667,0.034769,0.722500,8.375000,50.000000,0.000000
0.005000,0.638594,18.666667,0.038597,0.765625,8.625000,50.000000,0.000000
0.005000,0.642644,18.666667,0.042647,0.810000,8.875000,50.000000,0.000000
0.005000,0.646922,18.666667,0.046925,0.855625,9.125000,50.000000,0.000000
0.005000,0.651434,18.666667,0.051438,0.902500,9.375000,50.000000,0.000000
0.005000,0.656187,18.666667,0.056191,0.950625,9.625000,50.000000,0.000000
0.005000,0.661187,18.666667,0.061191,1.000000,9.875000,50.000000,0.000000
0.005000,0.666441,18.666667,0.066444,1.050625,10.125000,50.000000,0.000000
0.005000,0.671953,18.666667,0.071956,1.102500,10.375000,50.000000,0.000000
0.005000,0.677731,18.666667,0.077734,1.155625,10.625000,50.000000,0.000000
0.005000,0.683781,18.666667,0.083784,1.210000,10.875000,50.000000,0.000000
0.005000,0.690109,18.666667,0.090112,1.265625,11.125000,50.000000,0.000000
0.005000,0.696722,18.666667,0.096725,1.322500,11.375000,50.000000,0.000000
0.005000,0.703625,18.666667,0.103628,1.380625,11.625000,50.000000,0.000000
0.005000,0.710825,18.666667,0.110828,1.440000,11.875000,50.000000,0.000000
