dt,x,y,position,velocity,acceleration,jerk,heading
0.005000,4.600000,18.666667,0.000003,0.001250,0.250000,50.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,-0.250000,-100.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,50.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600000,18.666667,0.000003,0.000000,0.000000,0.000000,0.000000
0.005000,4.600675,18.666667,0.000678,0.135000,27.000000,5400.000000,0.000000
0.005000,4.601578,18.666667,0.001581,0.180625,9.125000,-3575.000000,0.000000
0.005000,4.602591,18.666667,0.002594,0.202500,4.375000,-950.000000,0.000000
0.005000,4.603719,18.666667,0.003722,0.225625,4.625000,50.000000,0.000000
0.005000,4.604969,18.666667,0.004972,0.250000,4.875000,50.000000,0.000000
0.005000,4.606347,18.666667,0.006350,0.275625,5.125000,50.000000,0.000000
0.005000,4.607859,18.666667,0.007862,0.302500,5.375000,50.000000,0.000000
0.005000,4.609512,18.666667,0.009516,0.330625,5.625000,50.000000,0.000000
0.005000,4.611312,18.666667,0.011316,0.360000,5.875000,50.000000,0.000000
0.005000,4.613266,18.666667,0.013269,0.390625,6.125000,50.000000,0.000000
0.005000,4.615378,18.666667,0.015381,0.422500,6.375000,50.000000,0.000000
0.005000,4.617656,18.666667,0.017659,0.455625,6.625000,50.000000,0.000000
0.005000,4.620106,18.666667,0.020109,0.490000,6.875000,50.000000,0.000000
0.005000,4.622734,18.666667,0.022737,0.525625,7.125000,50.000000,0.000000
0.005000,4.625547,18.666667,0.025550,0.562500,7.375000,50.000000,0.000000
0.005000,4.628550,18.666667,0.028553,0.600625,7.625000,50.000000,0.000000
0.005000,4.631750,18.666667,0.031753,0.640000,7.875000,50.000000,0.000000
